,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Country,Happiness Score,Local Purchasing Power Index,Cost of Living Index,Capital,Latitude,Longitude,Rank,Crime Index,Safety Index,Normalized Happiness,Normalized Local Purchasing Power,Normalized Safety,"Equally Weighted Safety, Purchasing, and Happiness",Z-Score Happiness Score,Z-Score Safety Index,Z-Score Local Purchasing Power,"Equally Weighted Z-Score Safety, Purchasing, and Happiness"
28,28,28,29,Slovakia,6391.0,54.7,44.68,Bratislava,48.15,17.116667,370.0,29.89,70.11,0.7360162451541443,0.4157653528872594,0.7821560263176922,1.1516721717994904,0.5421422567538028,0.9779638360980001,0.25180010335906716,1.146182700674399
29,29,29,30,Estonia,6341.0,63.46,53.68,Tallinn,59.43333333333333,24.716667,426.5,22.145,77.85499999999999,0.7267860439357579,0.4960586617781852,0.8941508206203455,1.254510996205689,0.49542813277142334,1.486994460515552,0.578194872520799,1.6706019486863588
30,30,30,31,Panama,6309.0,33.09,51.43,Panama City,8.966666666666667,-79.533333,194.0,47.16,52.84,0.7208787151559904,0.2176901924839597,0.5324271563878246,0.9222439041424346,0.46553109342270044,-0.15708572925915038,-0.5533815132602281,0.7400177190435335
31,31,31,32,Brazil,6293.0,27.85,33.24,Brasilia,-15.783333333333331,-47.916667,57.23076923076923,67.51076923076923,32.48923076923077,0.7179250507661067,0.1696608615948671,0.2381495303192939,0.7751879676994025,0.450582573748339,-1.4946150732121493,-0.7486222199277482,1.731281057774325
32,32,32,33,Kazakhstan,6234.0,32.23,28.68,Astana,51.16666666666666,71.416667,195.5,48.650000000000006,51.35,0.7070334133284105,0.2098075160403299,0.51088135348131,0.8971706630762798,0.3954599074491312,-0.2550141515163685,-0.5854248353468825,0.7510945304781638
33,33,33,34,Cyprus,6221.0,57.31,59.03,Nicosia,35.166666666666664,33.366667,359.5,30.96,69.03999999999999,0.7046335610116301,0.4396883593033914,0.7666835369821415,1.1303264813717695,0.3833142352137125,0.9076393986381183,0.3490478599243777,1.0452624021725005
34,34,34,35,Latvia,6180.0,51.65,48.45,Riga,56.95,24.1,289.0,37.91,62.09,0.6970647960125531,0.3878093492208983,0.6661846576530982,1.0392773543551954,0.3450086535481613,0.450859174015525,0.13815808898197998,0.5842881338588259
35,35,35,36,Serbia,6178.0,37.83,36.21,Belgrade,44.833333333333336,20.5,270.0,39.71,60.290000000000006,0.6966955879638176,0.2611365719523373,0.6401561709203963,0.9815176894313884,0.3431400885888661,0.3325563820269397,-0.3767706450151816,0.608518682185501
36,36,36,37,Chile,6172.0,33.27,43.9,Santiago,-33.45,-70.666667,86.0,59.8,40.2,0.6955879638176112,0.2193400549954171,0.3496493384426289,0.8088308444951212,0.33753439371098054,-0.9878342241123285,-0.5466747714281378,1.178388402429968
37,37,37,39,Mexico,6128.0,38.62,35.35,Mexico City,19.433333333333334,-99.133333,169.30769230769232,52.16538461538461,47.83461538461539,0.687465386745431,0.2683776351970669,0.4600479413580419,0.8696432149995694,0.29642596460648657,-0.48605849313510147,-0.34733550030767385,0.6669056612562482
38,38,38,40,Croatia,6125.0,47.55,48.94,Zagreb,45.8,16.0,394.6666666666667,26.136666666666667,73.86333333333333,0.6869115746723279,0.3502291475710357,0.8364302412455112,1.137595497396669,0.2936231171675438,1.224647065318643,-0.014606586082301011,1.259439685687937
39,39,39,41,Poland,6123.0,59.95,38.95,Warsaw,52.25,21.0,331.57142857142856,33.39714285714286,66.60285714285715,0.6865423666235924,0.4638863428047662,0.7314417922472294,1.1052321274988994,0.29175455220824864,0.7474611739297644,0.44741340679503666,0.9186934645716373
